id;identifier;dataset_identifier;RADIO_C14 Std_To;RADIO_CalAMS_;RADIO_CalibC14_From_yrmax;RADIO_CalibC14_From_yrmin;RADIO_CalibC14_To_yrmax;RADIO_CalibC14_To_yrmin;RADIO_CalibC14_yrmax;RADIO_CalibC14_yrmin;RADIO_TL_From;RADIO_TL_To;RADIO_UnknownCal_From;RADIO_UnknownCal_To;RADIO_UnknownRadio_;RADIO_UnknownRadio_>;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL__BP_2;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CAL_From_BP_3;CAL_To_BP_3;CAL_DatingMethod_3;CAL__BP_4;CAL_From_BP_4;CAL_To_BP_4;CAL_DatingMethod_4;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP_To_3;PER_EndBP_To_3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorMinus;AgeErrorOrPlusError;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
2242;Qeqertasussuk|COUN000646|C11u;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2243;Qeqertasussuk|COUN000646|C14;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2244;Qeqertasussuk|COUN000646|C15;Qeqertasussuk|COUN000646;;;;;;;4286;3374;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;3374;4286;;;;;2449;4449;4286;3374;1;;;;;;;;;;;;;;;4286;3374
2245;Qeqertasussuk|COUN000646|C15a;Qeqertasussuk|COUN000646;;;;;;;4414;3929;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;3929;4414;;;;;2449;4449;4414;3929;1;;;;;;;;;;;;;;;4414;3929
2246;Qeqertasussuk|COUN000646|C16;Qeqertasussuk|COUN000646;;;;;;;4406;3723;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;3723;4406;;;;;2449;4449;4406;3723;1;;;;;;;;;;;;;;;4406;3723
2247;Qeqertasussuk|COUN000646|C18;Qeqertasussuk|COUN000646;;;;;;;4808;4159;;;;;;;1;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;4159;4808;;;;;2449;4449;4808;4159;1;;;;;;;;;;;;;;;4808;4159
2248;Qeqertasussuk|COUN000646|C9-10;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2249;Qeqertasussuk|COUN000646|P;Qeqertasussuk|COUN000646;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;4449;;;2449;;;;;;;;;;;;;1;;;;;;;2449;4449;4449;2449;;;;1;;;;;;;;;;;;4449;2449
2250;Qilakitsoq|COUN000257|S1;Qilakitsoq|COUN000257;;;;;;;;;;;;;;;0;475;;;ArchCal;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;475;475;;;475;475;;;1;;;;;;;;;;;;;475;475
2251;Quebec: Îlot Hunt|COUN000932|BugsPresence;Quebec: Îlot Hunt|COUN000932;;;;;;;;;;;;;;;0;;125;75;HistCal;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;75;125;;;125;75;;;1;;;;;;;;;;;;;125;75
2252;Quebec: Intendant's Palace|COUN000991|BugsPresence;Quebec: Intendant's Palace|COUN000991;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;
2253;Quseir el-Qadim|COUN001108|BugsPresence;Quseir el-Qadim|COUN001108;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;2702;;;1976;;;;;;;;;;;;;1;;;;;;;1976;2702;2702;1976;;;;1;;;;;;;;;;;;2702;1976
