SEAD_taxonomic_code	SEAD_taxon_id	SEAD_taxon	SEAD_author_name	Dyntaxa_taxonID
53,015002	32584	Pediacus dermestoides	(F.)	211686
4,024003	29669	Ilybius fuliginosus	(F.)	103670
16,007001	30206	Anisotoma humeralis	(F.)	103931
25,002501	31890	Platycis minutus	(F.)	105094
88,037001	33884	Timarcha tenebricosa	(F.)	232423
9,005001	29905	Cryptopleurum minutum	(F.)	103779
1,05103	29272	Pterostichus madidus	(F.)	208543
88,017071	33800	Cryptocephalus pusillus	F.	100745
88,002021	33732	Donacia simplex	F.	105985
34,043001	32136	Hypnoidus riparius	(F.)	105163
85,033001	33571	Melolontha hippocastani	F.	105067
54,001001	32611	Tritoma bipustulata	F.	105580
85,019073	33525	Aphodius sordidus	(F.)	102176
1,029086	29102	Bembidion minimum	(F.)	103377
3,003002	29495	Haliplus obliquus	(F.)	103566
87,071002	33688	Mesosa nebulosa	(F.)	101312
